TimeStamp,ECG,PPG,
21:36:04,-4.0,-17159.0,0.0
21:36:04,-3.0,-17150.0,0.0
21:36:04,-1.0,-17172.0,0.0
21:36:04,-3.0,-17179.0,0.0
21:36:04,-7.0,-17189.0,0.0
21:36:04,-8.0,-17217.0,0.0
21:36:04,-5.0,-17229.0,0.0
21:36:04,-2.0,-17224.0,0.0
21:36:04,-1.0,-17154.0,0.0
21:36:04,-1.0,-17176.0,0.0
21:36:04,0.0,-17139.0,0.0
21:36:04,-2.0,-17143.0,0.0
21:36:04,-4.0,-17244.0,0.0
21:36:04,-2.0,-17288.0,0.0
21:36:04,-1.0,-17163.0,0.0
21:36:04,-8.0,-17093.0,0.0
21:36:04,-13.0,-17109.0,0.0
21:36:04,-8.0,-17198.0,0.0
21:36:04,-2.0,-17199.0,0.0
21:36:04,-3.0,-17230.0,0.0
21:36:04,-6.0,-17185.0,0.0
21:36:04,-6.0,-17279.0,0.0
21:36:04,-4.0,-17229.0,0.0
21:36:04,-2.0,-17221.0,0.0
21:36:04,-2.0,-17218.0,0.0
21:36:04,-2.0,-17154.0,0.0
21:36:04,-2.0,-17108.0,0.0
21:36:04,-2.0,-17172.0,0.0
21:36:04,-4.0,-17154.0,0.0
21:36:04,-3.0,-17189.0,0.0
21:36:04,-1.0,-17180.0,0.0
21:36:04,-1.0,-17183.0,0.0
21:36:04,-2.0,-17223.0,0.0
21:36:04,-1.0,-17162.0,0.0
21:36:04,-2.0,-17182.0,0.0
21:36:04,-1.0,-17157.0,0.0
21:36:04,-1.0,-17217.0,0.0
21:36:04,-2.0,-17207.0,0.0
21:36:04,-2.0,-17222.0,0.0
21:36:04,0.0,-17211.0,0.0
21:36:04,-1.0,-17170.0,0.0
21:36:04,-4.0,-17244.0,0.0
21:36:04,-3.0,-17187.0,0.0
21:36:04,-1.0,-17174.0,0.0
21:36:04,-1.0,-17234.0,0.0
21:36:04,0.0,-17227.0,0.0
21:36:04,2.0,-17208.0,0.0
21:36:04,1.0,-17272.0,0.0
21:36:04,0.0,-17245.0,0.0
21:36:04,0.0,-17192.0,0.0
21:36:04,-2.0,-17207.0,0.0
21:36:04,-4.0,-17242.0,0.0
21:36:04,0.0,-17309.0,0.0
21:36:04,2.0,-17238.0,0.0
21:36:04,-7.0,-17199.0,0.0
21:36:04,-21.0,-17178.0,0.0
21:36:04,-22.0,-17203.0,0.0
21:36:04,-11.0,-17168.0,0.0
21:36:04,-8.0,-17200.0,0.0
21:36:04,-3.0,-17284.0,0.0
21:36:04,21.0,-17284.0,0.0
21:36:04,29.0,-17312.0,0.0
21:36:04,-15.0,-17278.0,0.0
21:36:04,-69.0,-17330.0,0.0
21:36:04,-76.0,-17329.0,0.0
21:36:04,-57.0,-17196.0,0.0
21:36:04,-48.0,-17171.0,0.0
21:36:04,-36.0,-17164.0,0.0
21:36:04,-15.0,-17235.0,0.0
21:36:04,-4.0,-17271.0,0.0
21:36:04,-2.0,-17250.0,0.0
21:36:04,3.0,-17256.0,0.0
21:36:04,6.0,-17270.0,0.0
21:36:04,5.0,-17235.0,0.0
21:36:04,9.0,-17265.0,0.0
21:36:05,9.0,-17265.0,0.0
21:36:05,5.0,-17234.0,0.0
21:36:05,7.0,-17220.0,0.0
21:36:05,13.0,-17227.0,0.0
